"","name","funding_looking_for","product_status","description","tags","funding_type","funding_received","funding_expected","team_size","address","email","website"
"11","Admizz","Other Opportunities","Launched","In the present world of huge competition, choosing the right institute is as important as choosing the right course. With too many institutions around, it is natural that one gets confused. It is very diﬃcult to select which is the best institution to study the course of your choice. Selecting a right institution is a onetime decision that will decide how your future will be.

In order to help students overcome this uneasy task, we have started Admizz.com. Admizz with the byword “Admission with Ease” helps to provide all the required information about the institutions and apply to the desired institute for Admission purpose. This is our small step towards digitizing the process of admission in the education system. We believe that not only education, but also its initial processing should get digitized.

Many prestigious institutions are listed in Admizz.com . Students can see the listed institutions in the city of their choice. One can also see the college description, courses oﬀered, fee structure and also the reviews of the selected institution.

After getting all these details, student can apply online to get admission in the institution/course of their choice. One can save a lot of Time, money and eﬀort by using @Admizz.com. One can also mail us for any support and get assistance from our trained employees. Our vision is to make admission procedure very simple for students with the use of technology. Admizz.com is managed by INRA EduTech Services Pvt. Ltd. and MKS Technology Pvt. Ltd. in India and Nepal respectively.

Admizz.com - Clever choice of a clever Student","
                                                    Online Admission to India
                                            ","Funding Type                                :  Seed Round","Total Funding Received                                :  0 - 1million","Total Funding Expected                                :  None","Team Size: 1-10","Putalisadak, Kathmandu, Nepal","support@admizz.com","http://admizz.com/"
"12","Advitta","Funding","Public Beta","c("""", ""Advitta is a creative advertising agency, which will research and deploy new ways of advertising in the context of Nepal, providing the companies to interact with much more audience who read newspapers or use internet ."")","
                                                    advertising
                                                    advitta
                                            ","Funding Type                                :  Bootstrap","Total Funding Received                                :  None","Total Funding Expected                                :  Above 50 million","Team Size: 1-10","New Baneshwor, Kathmandu","advitta.inc@gmail.com","http://www.advitta.com"
"13","AGAZE","Funding","Project","character(0)","character(0)","Funding Type                                :  Bootstrap","Total Funding Received                                :  0 - 1million","Total Funding Expected                                :  0 - 1million","Team Size: 1-10","Jorpati, Kathmandu, Nepal","ranjeethiphop11@gmail.com","www.agazenepal.com"
"14","AGM Web Hosting - Cheap Domain Registration and Web Hosting Services in Nepal","Other Opportunities","Others","AGM Web Hosting is cheap domain registration company in Nepal. Our services comprises domain registration, web hosting, website development and digital marketing. We understand that comparing the different plans available, will help you decide better. So, here we come up with the plans that we are offering for hosting in Nepal.
","
                                                    Cheap Domain Registration Services
                                                    Best Hosting Service Provider Company
                                                    Reliable Web Service Company in Nepal
                                                    AGM Web Hosting in Nepal
                                            ","Funding Type                                :  Others","Total Funding Received                                :  None","Total Funding Expected                                :  None","Team Size: 51-100","Trade Tower Nepal, Thapathali Road, Kathmandu - 44600, Nepal
https://www.agmwebhosting.com","hari@agmwebhosting.com","https://www.agmwebhosting.com/"
"15","AGM Web Hosting Nepal","Other Opportunities","Others","AGM Web Hosting is cheap domain registration company in Nepal. Our services comprises domain registration, web hosting, website development and digital marketing. We understand that comparing the different plans available, will help you decide better. So, here we come up with the plans that we are offering for hosting in Nepal.
","
                                                    Cheap Domain Registration Services
                                                    Best Hosting Service Provider Company
                                                    Reliable Web Service Company in Nepal
                                                    AGM Web Hosting in Nepal
                                            ","Funding Type                                :  ","Total Funding Received                                :  None","Total Funding Expected                                :  None","Team Size: 51-100","Trade Tower Nepal, Thapathali Road, Kathmandu - 44600, Nepal","hari@agmwebhosting.com","https://nepal.agmwebhosting.com/register-domain.php"
"16","AIDEN ENGINEERING","Funding","Project","character(0)","character(0)","Funding Type                                :  Bootstrap","Total Funding Received                                :  None","Total Funding Expected                                :  None","Team Size: 1-10","Battisputali, Old Baneshwar, Kathmandu Nepal","arsinacs@hotmail.com","www.aidenengineering.com"
"17","Al Ajeets Management and Outsourcing Pvt Ltd","Other Opportunities","Others","Ajeets Consultants is Nepal's leading recruitment services provider since 1991. Ajeets Group provides unique value to clients and candidates through a comprehensive suite of innovative solutions which cover an entire range of talent-driven needs from recruitment and assessment, training and development, and career management, to outsourcing and workforce consulting. With our cost effective solutions and customized strategy we make a sense for specific needs and objectives of an organization, Our HR solutions provides an economical way to procure talent to your organization.
We specialize in the search and Staffing of top-notch professionals at junior, middle and senior management levels across a broad range of industries including Construction, Engineering, Telecom, Hospitality, FMCG, Banking / Finance, Consumer white goods, IT, Media, Service Sector and other service oriented fields across the Globe.
Industry We Serve:
• Hospitality Recruitment Services
• Oil & Gas Recruitment Service
• Civil Recruitment Service
• Engineering Recruitment Service
• Factory & Manufacturing Recruitment
• MEP Recruitment
• Refinery & Petrochemical Recruitment Services
• Cement Plant Recruitment Service
• Marine & Shipyard Recruitment Services
• EPC Contracting Recruitment Services
• Doctors & Health Care Recruitment Services
• Medical Nursing Recruitment Services
• Retail & Departmental Recruitment Services
• Plastic & Fiber Plant Recruitment Services
• Security Service Recruitment Services
• Steel Plant Recruitment Services
• Marine & Offshore Drilling Recruitment Services
• Cruise Liner Recruitment Services
• Aluminium & Glass Recruitment Service
• Facility Management Recruitment Services
• Infrastructure & Construction Recruitment
• Catering Recruitment Services
• Hotel & Fast Food Chains Recruitment Services
• Electrical, Mechanical & Instrumentation Engineering Recruitment
• Steel Sector Recruitment
• IT & Telecom Recruitment Services
• Finance & Banking Recruitment Services
• Media & Communication Recruitment Services
• Agricultural Recruitment Service
• Dairy Farm Recruitment Services
For any queries please drop me a mail on this mail id: hr_one@ajeets.com and contact on this no: 9090095993
","
                                                    Overseas manpower consultancy
                                            ","Funding Type                                :  Others","Total Funding Received                                :  None","Total Funding Expected                                :  None","Team Size: 101-300","SINAMANGAL-9
SHLESH MANTAK MARG,
PANCHAKUMARI MANDIR,
KATHMANDU, NEPAL- 44600","hr_one@ajeets.com","http://www.ajeets.com"
"18","Alina Sapkota","Funding","Project","character(0)","character(0)","Funding Type                                :  Bootstrap","Total Funding Received                                :  None","Total Funding Expected                                :  None","Team Size: 1-10","New Baneshwor, Kathmandu","sales@ezone.com.np","http://www.ezone.com.np/"
"19","AllAdNepal.com","Other Opportunities","Launched","Web Portal that collects Jobs, Tenders, Financial Notices & Educational Notices published in Nepal's leading Newspaper and organizes in a user-friendly way for best user experience.","
                                                    alladnepal
                                            ","Funding Type                                :  Others","Total Funding Received                                :  None","Total Funding Expected                                :  None","Team Size: 1-10","Jhamsikhel, Lalitpur","springstwelve@gmail.com","https://alladnepal.com/"
"20","Ankastudio","Funding","Project","character(0)","character(0)","Funding Type                                :  Bootstrap","Total Funding Received                                :  None","Total Funding Expected                                :  None","Team Size: 1-10","Jhamsikhel, Lalitpur, Nepal","ankashala@gmail.com","character(0)"
"21","Antardristi Nepal","Other Opportunities","Project","Antardristi was formed in 2003 to address the social issue of child sexual abuse in Nepal due to the alarming scarcity of service provision in this area. Antardristi remains one of a limited number of organisations working to eliminate child sexual abuse within Nepal and undertakes activities in the areas of awareness raising and prevention, child protection, psychosocial recovery and social reintegration. Undertaking this work is considerably complex. There is stigma around mental health which results in a silence around such problems and consequently increased isolation and unremitting difficulties. There also exists discrimination against young women reporting rape as blame may be placed with the victim. This hinders reporting of sexual abuse and violence and allowing it to continue. Moreover, the hidden nature of these difficulties can make securing funding for intervention a challenge.

Through our activities we aim to ensure access to education about sexual violence, human rights and legislation. This empowers children and women to identify, refuse and report sexually inappropriate behaviour. We also address the mental health of children and women, educating about the signs of mental distress relating to sexual abuse and about support available. We aim to challenge traditional perceptions and break down social stigma relating to both mental health and reporting of sexual abuse through our awareness workshops, family and community work. Furthermore we support women who experience sexual abuse in the development of life skills, educational inclusion and job skills training so that they can go on to live full and meaningful lives and we support children and young women who are suffering mental distress through counselling and outreach.","
                                                    Social Entrepreneurship
                                                    Social Business
                                                    Nepal
                                            ","Funding Type                                :  Bootstrap","Total Funding Received                                :  None","Total Funding Expected                                :  None","Team Size: 1-10","Email :: info@antardristi.com.np
Phone No :: 0977-015544644
P.O.Box No :: 1663","info@antardristi.com.np","http://antardristi.com.np/"
"22","Appkosh","Other Opportunities","Others","character(0)","character(0)","Funding Type                                :  Others","Total Funding Received                                :  None","Total Funding Expected                                :  None","Team Size: 1-10","Sallaghari Marga,Bashbari, Kathmandu, Nepal","info@semanticcreation.com","www.appkosh.com"
"23","Apps Jhola","Other Opportunities","Others","character(0)","character(0)","Funding Type                                :  Others","Total Funding Received                                :  None","Total Funding Expected                                :  None","Team Size: 1-10","Sallaghari Marga,Bashbari, Kathmandu, Nepal"," ","www.appkosh.com"
"24","Arcube Games & Animation","Funding","Launched","Arcube is a Nepal based indie game development studio. We are young, passionate and creative team of artistic and technical talents with experience of handling Games, CGI Animation, Commercials & In-Game Assets","
                                                    3d animation
                                                    game development
                                                    games
                                                    mobile
                                                    android
                                                    unity
                                                    ios
                                                    android game development
                                                    ios game development
                                            ","Funding Type                                :  Bootstrap","Total Funding Received                                :  None","Total Funding Expected                                :  1 - 10 million","Team Size: 1-10","Bhaktapur","info@arcube.com.np","http://www.arcube.com.np"
"25","Arthasansar.com","Other Opportunities","Others","character(0)","character(0)","Funding Type                                :  Others","Total Funding Received                                :  None","Total Funding Expected                                :  None","Team Size: 1-10","kathmandu, nepal"," ","www.arthasansar.com"
"26","ATM Pharmacy -Nepal online Pharmacy","Funding","Public Beta","Buy Medicine Online in Nepal; Free Home Delivery
Nepal Online Medical Store www.atmpharmacy.com is one of the largest online pharmacy of Nepal with the slogan of “फार्मेसी को ATM” providing Prescription and Non-Prescription Medicines and Drugs at best price with free home delivery. ATM Pharmacy follow Good Pharmacy Practice ‘GPP’ to deliver better service of every prescription.
Now Nepalese people also enjoy hassle free Medicine delivery at doorstep. ATM Pharmacy offers wide range of services like Prescription Medicine, Fitness Supplements, Ayurveda Medicine, OTC products, Personal care, sexual wellness, Medical devices, surgical accessories and First Aid Kits. 
When Customer looking the answer of why buy online from ATM pharmacy; we say ATM pharmacy delivering free home delivery service, Up to 10% discount, Medicine refill, No shortage problem, Genuine Medicine & Fast delivery. Customer can order Medicine via; upload prescription, email, whatsapp, Viber, face book message and for fast delivery contact us.","
                                                    Nepal Online pharmacy; Nepal Online Medical Store; free Home delivery medicine; Medicine Best Price; Fitness Supplements;Medical Devices; Surgical Accessories; First Aid Kits; Fast delivery Medicine; Best Online Pharmacy in Nepal
                                            ","Funding Type                                :  Bootstrap","Total Funding Received                                :  None","Total Funding Expected                                :  None","Team Size: 1-10","Koteswore Kathmandu","pharmacyatm@gmail.com","http://www.atmpharmacy.com"
"27","Audeet.com- Phunka technologies","Other Opportunities","Others","character(0)","character(0)","Funding Type                                :  Others","Total Funding Received                                :  None","Total Funding Expected                                :  None","Team Size: 1-10","kathmandu, Nepal"," ","www.audeet.com"
"28","Babaaal","Partner","Launched","Babaaal is an online platform that amplifies the voice of an alternative Nepalese. We create and handpick stories relevant to our young audience. Founded by Nepalese around the globe, Babaaal’s goal is to publish content users love to read, share and discuss.","character(0)","Funding Type                                :  Bootstrap","Total Funding Received                                :  None","Total Funding Expected                                :  None","Team Size: 1-10","New Baneswor, Kathmandu","babaaal.ent@gmail.com","https://babaaal.com"
"29","Backstreet Academy","Other Opportunities","Others","character(0)","character(0)","Funding Type                                :  Others","Total Funding Received                                :  None","Total Funding Expected                                :  None","Team Size: 1-10","2nd Floor, Laxmi Bank Building Thirbam Sadak, Bhatbhateni ","info@backstreetacademy.com","www.backstreetacademy.com/"
"30","Basobaas","Funding","Launched","Basobaas is a technology backed real estate startup founded with the hope of serving the home seekers, dreamers and sellers.
With the passion to empower the consumers and simplify the real estate scenario, Basobaas focuses on providing solutions and professional guidance with the combination of technology, digital presence and experienced field agents and brokers.

Basobaas being a comprehensive competing national site, is a digital platform having a wide spectrum of visual community catering unparalleled services with conceivable property listings and their details. With the knowledge of real estate setting, Basobaas aims to continuously explore new ideas and technology to make property search easier and faster; as well as bringing home owners and home professionals together.

Having the vision to achieve the highest possible standards with the objective of being profitable, premier and preferred real estate company in Nepal, Basobaas is striving to be the best in the real estate ecosystem. Basobaas serves innovative ideas and targets to be a leading full-service real estate company with the aim of selling properties as cost effective as possible while maintaining the highest level of impeccable quality service. By enhancing the quality of life through active community involvement, Basobaas aspires to grow every single day.","
                                                    real estate
                                                    kathmandu
                                                    nepal
                                                    property
                                                    proptech
                                            ","Funding Type                                :  Bootstrap","Total Funding Received                                :  None","Total Funding Expected                                :  None","Team Size: 11-50","5th Floor Tandukar house, Sankhamul, Kathmandu - 34","binit@aequirtas.com","https://basobaas.com"
"31","Baucha O Maicha","Other Opportunities","Others","Baucha O Maicha (“The Boy” and “The Girl” in Newari language), are the fictional characters which tell us a lot about our cultures, traditions, and our lifestyles now and then in this mighty land of Nepal.","
                                                    baucha o maicha
                                                    baucha
                                                    maicha
                                                    fictional character
                                                    
                                            ","Funding Type                                :  Bootstrap","Total Funding Received                                :  None","Total Funding Expected                                :  None","Team Size: 1-10","Madhyapur Thimi, Bhaktapur","bauchaomaicha@gmail.com","http://bauchamaicha.com"
"32","Beside The Himalayan Treks & Expedition Pvt.Ltd","Funding","Others","c("""", ""Beside the Himalayan Treks and Expedition is an well equipped, trustworthy and highly experienced trekking and tour agency in Nepal, authorized by Nepal Government with all local crews. We specealize for Trekking in Nepal, Nepal Adventure Holidays and other exciting outdoor activities. Our Trekking Company has been launched by a professional and energetic team after gaining deep knowledge and more than a decade blend experience in tourism industry. Our professional management, expert guides, familiar staffs are the sources for Himalayan fun and adventure. We proudly as well as perfectly organize exciting treks, classic and scenic tour, peak climbing, rafting, jungle safari, expedition, paragliding, bungee jump, mountain flight, hiking, sightseeing and other adventurous activities with best price and excellent service guarantee to make your vacation lifetime unforgettable. Our service is extended to Bhutan and Tibet as well. Beside The Himalayan Treks is an excellent service provider in any outdoor activities either directly touched our valued clients or through our partnership agencies throughout the world. We are also extending our service coordinating with agencies and related travel crews. We are very satisfied from our every client after the response of our every program and till now we never heard even one weak points of our company, of our management and of our staffs. We have succeeded to print our organized activities in their mind as lifetime memorable, which is our goal. Nepal is such an amazing tiny Himalayan country where the Lord Buddha, the founder of Buddhism was born and it is also the home of eight of the world's ten highest mountain including Mount Everest, the highest point on Earth, Mt. Annapurna, Mt. Manaslu, Mt. Amadablam and multiple other majestic peaks. Nepal is one of the most ravishing countries in the earth in terms of bio-diversity due to its unique geographical feature, altitude variation, cultural and historical heritages as well as fauna and flora.""
)","
                                                    Trekking
                                                    Tour
                                                    Rafting
                                                    Hiking
                                                    peak Climbing In nepal Himalaya
                                            ","Funding Type                                :  Bootstrap","Total Funding Received                                :  None","Total Funding Expected                                :  None","Team Size: 1-10","Thamel Kathmandu Nepal","info@besidethehimalayantreks.com","http://www.besidethehimalayantreks.com/"
"33","Bidhee (Hamro Patro / Hamro Keyboard)","Other Opportunities","Others","character(0)","character(0)","Funding Type                                :  Others","Total Funding Received                                :  None","Total Funding Expected                                :  None","Team Size: 1-10","Jaggannat Bhawan 2nd Floor, New Baneshwor-10, Kathmandu, Nepal","info@bidhee.com","http://www.bidhee.com"
"34","Bihani Social Venture","Other Opportunities","Others","character(0)","character(0)","Funding Type                                :  Others","Total Funding Received                                :  None","Total Funding Expected                                :  None","Team Size: 1-10","Between Greenwich & Summit Hotel, Kupondole Heights, Lalitpur, Nepal","ask.bihani@outlook.com","www.bihanisocialventure.wordpress.com"
"35","BikrimaCha.com","Other Opportunities","Others","character(0)","character(0)","Funding Type                                :  Others","Total Funding Received                                :  None","Total Funding Expected                                :  None","Team Size: 1-10","Itahari, Nepal"," ","www.bikrimacha.com"
"36","Biruwa ventures","Other Opportunities","Others","character(0)","character(0)","Funding Type                                :  Others","Total Funding Received                                :  None","Total Funding Expected                                :  None","Team Size: 1-10","Baluwatar, Kathmandu, Nepal","info@biruwa.net","www.biruwa.net"
"37","Bizserve Pvt. Ltd","Other Opportunities","Others","character(0)","character(0)","Funding Type                                :  Others","Total Funding Received                                :  None","Total Funding Expected                                :  None","Team Size: 1-10","6th Floor, Sunrise Bizz Park, Dillibazar, Kathmandu, Nepal","bizserve@bizserve.com.np","www.bizserve.com.np"
"38","Black Snow Creations","Co-working Space","Public Beta","Black Snow Venture is a Multi-industry Company, Which handles workflows of all sort - Extending from Graphics Designing to Digital marketing, Web-Apps development to Social Media Handling. We make your life as an entrepreneur a lot less stressful by providing services that otherwise would suck the life out you, if you were to do it all by yourself. You can visit our website to get more detailed information on how we can exactly be useful to you. Let's grow together.","
                                                    Digital Marketing
                                                    Graphics related works
                                                    Website Development
                                                    Application Development
                                                    Crowd Sourcing
                                                    Advertisement
                                                    Graphics Designing
                                                    Social Media Marketing
                                                    Marketing Agency
                                            ","Funding Type                                :  ","Total Funding Received                                :  Undisclosed","Total Funding Expected                                :  Undisclosed","Team Size: 1-10","Pinglasthan, Gaushala
Kathmandu","contact@blacksnowcreations.com","www.blacksnowcreations.com"
"39","BlogorTech ","Other Opportunities","Launched","BlogorTech, is an unique platform, where you can find the legitimate review of Nepali Android Apps and various resources needed for an aspiring entrepreneurs and marketers. Also, you can be updated with the tech events happening in Nepal. Our aim is to promote Nepali Startup Ecosystem, both nationally and globally. ","
                                                    Tech Blog
                                            ","Funding Type                                :  Bootstrap","Total Funding Received                                :  None","Total Funding Expected                                :  None","Team Size: 1-10","NA","rupak@blogortech.com","http://www.blogortech.com"
"40","Blood Emergency Nepal","Other Opportunities","Others","character(0)","character(0)","Funding Type                                :  Others","Total Funding Received                                :  None","Total Funding Expected                                :  None","Team Size: 1-10","Sankhamool, New Baneshwor, Nepal","info@thewhiterabbitstudio.com","www.thewhiterabbitstudio.com"
"41","Book Chautari","Other Opportunities","Others","character(0)","character(0)","Funding Type                                :  Others","Total Funding Received                                :  None","Total Funding Expected                                :  None","Team Size: 1-10","kathmandu, Nepal"," ","www.bookchautari.com"
"42","Bookmandu.com","Other Opportunities","Others","character(0)","character(0)","Funding Type                                :  Others","Total Funding Received                                :  None","Total Funding Expected                                :  None","Team Size: 1-10","Chabahil, Kathmandu, Nepal "," ","www.bookmandu.com"
"43","Books for all","Other Opportunities","Others","character(0)","character(0)","Funding Type                                :  Others","Total Funding Received                                :  None","Total Funding Expected                                :  None","Team Size: 1-10","Balkumari, Kathmandu, Nepal","info@booksforall.com","www.booksforall.co"
"44","Brands Online Nepal","Funding","Pvt. Beta","Brands Online Nepal is the ultimate online shopping solution for all our special customers from Nepal. It offers a wide and assorted range of products including clothing,beauty, home and living and much more.","
                                                    Brands Nepal
                                                    Online Nepal
                                                    Online Marketing
                                            ","Funding Type                                :  Bootstrap","Total Funding Received                                :  0 - 1million","Total Funding Expected                                :  0 - 1million","Team Size: 1-10","kathmandu","prataptpk71@gmail.com","https://www.brandsonlinenepal.com/"
"45","Business brainz","Other Opportunities","Others","character(0)","character(0)","Funding Type                                :  Others","Total Funding Received                                :  None","Total Funding Expected                                :  None","Team Size: 1-10","Pulchowk, Lalitpur, Nepal","Contact@businessbrainz.com","www.businessbrainz.com"
"46","busObas","Funding","Project","BusObas lets you plan your trip from finding you a ride of your choice to finding you a place to stay.

Booking tickets doesn't have to be so complicated. Booking your travel ticket is easy as 1 2 3.","
                                                    busobas
                                                    online bus ticket
                                                    
                                            ","Funding Type                                :  Bootstrap","Total Funding Received                                :  None","Total Funding Expected                                :  None","Team Size: 1-10","Budhanilakantha, Kathmandu","naween.poudel@gmail.com","busobas.com"
"47","BusSewa","Other Opportunities","Others","character(0)","character(0)","Funding Type                                :  Others","Total Funding Received                                :  None","Total Funding Expected                                :  None","Team Size: 1-10","Kathmandu, Nepal","info@bussewa.com","www.bussewa.com"
"48","Butta","Other Opportunities","Launched","Butta is a platform for independent designers’ to sell their art in a non-traditional sense. The art here are not sold on canvas rather on products that we use and wear everyday. 
Butta is a creative brand that caters to both designers/artists who love creating good art and the art-lovers that would love to take one home. 

50% of all the profits from the sales of the products goes to the respective designers/artist. 



","
                                                    design
                                            ","Funding Type                                :  Bootstrap","Total Funding Received                                :  Undisclosed","Total Funding Expected                                :  Undisclosed","Team Size: 1-10","Arun Thapa Chowk, Jhamiskhel","hello@butta.us","http://butta.us"
"49","Buy Domain in Nepal","Other Opportunities","Others","Buy Domain in Nepal is the leading industry standard brand of AGM Web Hosting Company. Buying a Domain in Nepal has become easier than ever with AGM WEB HOSTING. We provide Domain Registration as well as Web Hosting in Nepal that enables you to run any business online with global reach.
","
                                                    Buy Domain in Nepal
                                                    Domain Registration in Nepal
                                                    Cheap Domain Registration Company
                                                    Web Hosting Company
                                            ","Funding Type                                :  ","Total Funding Received                                :  Undisclosed","Total Funding Expected                                :  Undisclosed","Team Size: 51-100","Trade Tower Nepal, Thapathali Road, Kathmandu - 44600, Nepal","buydomaininnepal@gmail.com","https://buydomaininnepal.com"
"50","Buymandu.com","Other Opportunities","Others","character(0)","character(0)","Funding Type                                :  Others","Total Funding Received                                :  None","Total Funding Expected                                :  None","Team Size: 1-10","Kathmandu, Nepal "," ","http://www.buymandu.com"
"51","C SELL","Partner","Project","Nepal most innovative classified mobile application. In which user can post ads of their used and new good for free. please like our page @https://www.facebook.com/csellnp/","character(0)","Funding Type                                :  Bootstrap","Total Funding Received                                :  None","Total Funding Expected                                :  None","Team Size: 1-10","Birtamod, Jhapa","sun07396@gmail.com","character(0)"
"52","Cake9","Other Opportunities","Launched","Cake 9 is an initiative started with the vision of uplifting the cake consuming and celebrating culture in Nepal. Cake 9 has its office located in New Baneshwor, Kathmandu and serves its customer through various digital media. The main objective of Cake 9 is to align the celebratory habits of people towards the cake and promote healthy cakes among the Nepalese. ","character(0)","Funding Type                                :  Bootstrap","Total Funding Received                                :  0 - 1million","Total Funding Expected                                :  None","Team Size: 1-10","New Baneshwor (Opposite of panitanki) , Kathmandu ","salik.ghimire@cake9.com","www.cake9.com"
"53","Career Disha Nepal","Other Opportunities","Others","character(0)","character(0)","Funding Type                                :  Others","Total Funding Received                                :  None","Total Funding Expected                                :  None","Team Size: 1-10","2nd Floor, VHS Bhaktapur Building, Adarsha, Bhaktapur, Nepal"," ","www.careerdishanepal.org"
"54","casadeyra","Funding","Project","Want to lease your Homes and Apartments for rent in Kathmandu? Casadeyra is a property management company based in Baneshwor Kathmandu, Nepal. We offer you the good price of booking your Luxury Homes and Apartments for rent. Renters don’t really care about your property but we take care of your property, Every day.","
                                                    Properties for Rent Nepal
                                                    Homes for rent Baneshwor Kathmandu
                                                    Apartments for rent Nepal
                                                    Rental Properties Nepal
                                            ","Funding Type                                :  Bootstrap","Total Funding Received                                :  None","Total Funding Expected                                :  None","Team Size: 1-10","Tanka Prasad Marg, Old Baneshwor Height Kathmandu, Nepal.
","casadeyranepal@gmail.com","http://www.casadeyra.com/"
"55","Cash on Ad ","Other Opportunities","Others","character(0)","character(0)","Funding Type                                :  Others","Total Funding Received                                :  None","Total Funding Expected                                :  None","Team Size: 1-10","Nepal","info@cashonad.com","www.cashonad.com"
"56","CatchyRoad","Funding","Project","Catchy Road The biggest online business directory of Nepal, local search engine and yellow pages Nepal providing updated information on products and services. Catchyroad lets you find anything anywhere in Nepal Restaurants, Cafes and Coffee Shops, Banquet Halls, Caterers etc.your instant gateway to business listing Nepal.

","character(0)","Funding Type                                :  Bootstrap","Total Funding Received                                :  None","Total Funding Expected                                :  None","Team Size: 1-10","Utter Dhoka, Lazimpat, PO Box: 21858, Kathmandu, Nepal","info@catchyroad.com","http://www.catchyroad.com"
"57","Ceetle learning hub","Funding","Project","character(0)","character(0)","Funding Type                                :  Bootstrap","Total Funding Received                                :  None","Total Funding Expected                                :  None","Team Size: 1-10","baburam acharya sadak, battishputali, kathmandu, nepal","nirdesh.dixit@gmail.com","www.ceetle.com"
